move,title,desc,other_desc,move_title,move_desc,loc_id1,loc_id,from_start,to_start,to_reset,prev_loc_id
start,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",,,0,0,0,3,3,
n,In Forest,"  You are in open forest, with a deep valley to one side.",,  In Forest,"  You are in open forest, with a deep valley to one side.
  ",1,1,1,2,2,0.0
s,In Forest,"  You are in open forest, with a deep valley to one side.",,  In Forest,  ,1,1,2,1,1,1.0
start,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",,,0,0,0,2,17,1.0
e,Inside Building,"  You are inside a building, a well house for a large spring.","
There are some keys on the ground here.

There is tasty food here.

There is a shiny brass lamp nearby.

There is an empty bottle here.
",  Inside Building,"  You are inside a building, a well house for a large spring.
  
  There are some keys on the ground here.
  
  There is tasty food here.
  
  There is a shiny brass lamp nearby.
  
  There is an empty bottle here.
  ",4,4,1,1,16,0.0
w,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  At End Of Road,  ,0,0,0,2,15,4.0
w,At Hill In Road,"  You have walked up a hill, still in the forest. The road slopes back down","the other side of the hill. There is a building in the distance.
",  At Hill In Road,"  You have walked up a hill, still in the forest. The road slopes back down
  the other side of the hill. There is a building in the distance.
  ",6,6,1,1,14,0.0
e,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  At End Of Road,  ,0,0,0,2,13,6.0
s,In A Valley,  You are in a valley in the forest beside a stream tumbling along a rocky,"bed.
",  In A Valley,"  You are in a valley in the forest beside a stream tumbling along a rocky
  bed.
  ",8,8,1,1,12,0.0
n,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  At End Of Road,  ,0,0,0,1,11,8.0
ne,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  You can't go that way.,  ,0,0,0,1,10,0.0
sw,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  You can't go that way.,  ,0,0,0,1,9,0.0
se,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  You can't go that way.,  ,0,0,0,1,8,0.0
nw,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  You can't go that way.,  ,0,0,0,1,7,0.0
sw,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  You can't go that way.,  ,0,0,0,1,6,0.0
ne,At End Of Road,  You are standing at the end of a road before a small brick building. Around,"you is a forest. A small stream flows out of the building and down a gully.
",  You can't go that way.,  ,0,0,0,1,5,0.0
